,energy,Sb-271-281-291-301-s,Sb-271-281-291-301-p,Sb-271-281-291-301-d,Te-1:5-s,Te-1:5-p,Te-1:5-d
619,5.305489369999999,0.025856999999999998,0.70921,0.23841199999999999,0.0127,0.36392,0.32452400000000003
620,5.33648937,0.025323000000000002,0.61819,0.228535,0.012955,0.30932,0.30724799999999997
621,5.36848937,0.021559000000000002,0.49393,0.22485,0.013113000000000001,0.27745000000000003,0.29385
622,5.40048937,0.016966000000000002,0.44272,0.213258,0.012335,0.29089,0.269412
623,5.43148937,0.013828,0.43899999999999995,0.18807200000000002,0.010866,0.29116000000000003,0.230851
624,5.4634893700000005,0.012737,0.45669999999999994,0.15956199999999998,0.010354000000000002,0.27588,0.20586300000000002
625,5.494489369999999,0.013611999999999999,0.56063,0.143753,0.011924,0.31332000000000004,0.20309700000000003
626,5.526489369999999,0.015986999999999998,0.77039,0.142977,0.0139,0.40640000000000004,0.21318399999999998
627,5.55748937,0.01776,0.91069,0.16924999999999998,0.013925,0.46433,0.250945
628,5.58948937,0.016569,0.85942,0.237271,0.011898,0.43413999999999997,0.323745
629,5.62148937,0.013689,0.72818,0.313791,0.009507,0.36219,0.39970700000000003
630,5.652489369999999,0.011373,0.58179,0.34004999999999996,0.008038,0.28190000000000004,0.423147
631,5.684489369999999,0.00972,0.41701,0.30150499999999997,0.007212,0.205894,0.36657
632,5.715489369999999,0.009371,0.29684,0.250399,0.0064280000000000006,0.174258,0.285684
633,5.747489369999999,0.01089,0.29279,0.248382,0.0064600000000000005,0.20894,0.27153900000000003
634,5.77848937,0.012507,0.37596,0.27808,0.007847999999999999,0.26595,0.313727
635,5.81048937,0.011949000000000001,0.45526,0.282344,0.009006,0.28919000000000006,0.339388
636,5.84248937,0.010016,0.50018,0.268264,0.008788,0.28686,0.345224
637,5.873489369999999,0.008365000000000001,0.53136,0.25952600000000003,0.0076809999999999995,0.27964,0.34613900000000003
638,5.905489369999999,0.00707,0.55677,0.262494,0.006729,0.27282,0.342194
639,5.936489369999999,0.006124999999999999,0.59934,0.274196,0.006516,0.28140000000000004,0.330351
640,5.9684893699999995,0.005960999999999999,0.6588400000000001,0.267859,0.0063479999999999995,0.29525999999999997,0.305875
641,6.0004893699999995,0.006317,0.63625,0.22374,0.0054446,0.27273000000000003,0.275768
642,6.03148937,0.0058292,0.48506000000000005,0.185802,0.0042097,0.21272900000000003,0.253767
643,6.06348937,0.0047708,0.31698000000000004,0.204639,0.0037551,0.15678,0.26181600000000005
644,6.094489369999999,0.0042316,0.214461,0.24741,0.0041340000000000005,0.119712,0.28927800000000004
645,6.126489369999999,0.0035668,0.144401,0.25505,0.0039493,0.086893,0.295249
646,6.1574893699999995,0.0025567000000000003,0.103905,0.224225,0.0028591,0.066724,0.26214499999999996
647,6.1894893699999995,0.0023156,0.10342,0.18301,0.0019812000000000002,0.067184,0.213788
648,6.22148937,0.0037610000000000005,0.109056,0.158397,0.0019267,0.070009,0.18512299999999998
649,6.25248937,0.0059686999999999995,0.099905,0.150284,0.0024263,0.066157,0.176728
650,6.28448937,0.006552,0.096603,0.17125,0.0029627,0.072977,0.20947300000000002
651,6.315489369999999,0.006070000000000001,0.112389,0.239729,0.003672,0.095893,0.311301
652,6.347489369999999,0.006274,0.128903,0.29070300000000004,0.0044333,0.113011,0.39858400000000005
653,6.37848937,0.0062959999999999995,0.130712,0.274269,0.0046142,0.110762,0.383165
654,6.41048937,0.005821,0.120622,0.22686199999999998,0.0041288,0.101563,0.30208599999999997
655,6.44248937,0.0054497,0.103474,0.186091,0.0033375,0.091484,0.226082
656,6.47348937,0.0048155,0.092987,0.16488499999999998,0.0029424,0.079378,0.187991
657,6.50548937,0.0045592,0.100603,0.18077700000000002,0.0033859,0.07643799999999999,0.211403
658,6.536489369999999,0.005368,0.11521599999999999,0.23558000000000004,0.0040799,0.08789,0.29859500000000005
659,6.568489369999999,0.006654,0.131127,0.32112,0.0045588,0.11182700000000001,0.43854899999999997
660,6.600489369999999,0.007581,0.15102300000000002,0.41261000000000003,0.0049454,0.142601,0.5729500000000001
661,6.63148937,0.008126,0.17336000000000001,0.484978,0.005297100000000001,0.170271,0.6258599999999999
662,6.66348937,0.009323999999999999,0.19013999999999998,0.52017,0.0061270000000000005,0.18586,0.60225
663,6.69448937,0.011193,0.195141,0.49825,0.007424,0.18690299999999999,0.55672
664,6.72648937,0.012301,0.19798,0.45491000000000004,0.008562,0.185897,0.5281199999999999
665,6.757489369999999,0.011553999999999998,0.200258,0.42718199999999995,0.008897,0.19335200000000002,0.51701
666,6.789489369999999,0.010790000000000001,0.20392100000000002,0.407918,0.008312,0.204499,0.5161
667,6.821489369999999,0.012423,0.22613099999999997,0.4191790000000001,0.008129,0.221509,0.54879
668,6.85248937,0.014946000000000001,0.263964,0.476519,0.008806,0.24619200000000002,0.62046
669,6.88448937,0.016265,0.29283000000000003,0.5321,0.009446,0.26681600000000005,0.6688400000000001
670,6.91548937,0.016686,0.30435,0.54383,0.009758,0.277807,0.6683500000000001
671,6.94748937,0.017309,0.30322499999999997,0.5181,0.009618000000000002,0.278005,0.63046
672,6.978489369999999,0.018317,0.28942,0.49406000000000005,0.009294,0.264869,0.58117
673,7.010489369999999,0.018582,0.27319,0.50361,0.009534,0.23792999999999997,0.5859099999999999
674,7.042489369999999,0.016812,0.25694,0.51585,0.009688,0.203841,0.62365
675,7.07348937,0.014027999999999999,0.238516,0.51574,0.009929,0.18719000000000002,0.6378400000000001
676,7.10548937,0.013304000000000002,0.23403800000000002,0.54856,0.011569,0.196793,0.65771
677,7.136489369999999,0.014620999999999999,0.24153000000000002,0.59063,0.013172999999999999,0.207305,0.6903
678,7.168489369999999,0.014983,0.23493799999999998,0.58019,0.012166,0.20420000000000002,0.6723
679,7.200489369999999,0.012832000000000001,0.1935,0.5041100000000001,0.00895,0.18011499999999997,0.5669299999999999
680,7.231489369999999,0.009891,0.139608,0.384503,0.00613,0.13610499999999998,0.421118
681,7.263489369999999,0.008232999999999999,0.105052,0.274104,0.005388,0.099163,0.320977
682,7.29448937,0.008150999999999999,0.086967,0.21963300000000002,0.006782,0.081315,0.288434
683,7.32648937,0.010209,0.082442,0.219556,0.010569,0.078913,0.304733
684,7.357489369999999,0.013491000000000001,0.097669,0.263658,0.015594,0.094306,0.36799899999999997
