,energy,Sb-271-s,Sb-271-p,Sb-271-d,Sb-272-s,Sb-272-p,Sb-272-d,Te-1-s,Te-1-p,Te-1-d,Te-2-s,Te-2-p,Te-2-d
40,-12.97951063,0.02831,0.00011978399999999999,1.8340499999999998e-05,0.01102,0.00012002,3.83612e-06,0.05633,0.00042239,2.3845e-05,0.05163,0.000124784,1.00142808e-05
41,-12.94751063,0.03131,0.0001535,2.0459600000000003e-05,0.01046,0.00015359,3.97829e-06,0.05677,0.00059297,2.7370999999999996e-05,0.04978,0.000226067,1.30728673e-05
42,-12.91551063,0.04552,0.00026959,2.91464e-05,0.01104,0.00025646,5.22738e-06,0.05129,0.00068021,2.8115e-05,0.06783,0.00039725000000000003,2.2061476e-05
43,-12.884510630000001,0.06576,0.00057954,4.2910599999999995e-05,0.01529,0.00044594000000000003,7.3993000000000005e-06,0.04522,0.00064991,2.8117999999999997e-05,0.1046,0.00049137,2.8390247999999996e-05
44,-12.852510630000001,0.07569,0.0013705,5.7109e-05,0.02971,0.0008322000000000001,1.1175699999999999e-05,0.06666,0.0008753,4.2612000000000005e-05,0.1594,0.00050263,2.512856e-05
45,-12.82151063,0.08465,0.0026778,7.563900000000001e-05,0.05018,0.0014585,1.8719599999999996e-05,0.1087,0.0013484999999999999,6.6562e-05,0.2083,0.0005514000000000001,1.792985e-05
46,-12.78951063,0.103,0.0037014,9.4374e-05,0.06338,0.0020561,3.17754e-05,0.1393,0.0016721,8.163200000000001e-05,0.2012,0.0006808999999999999,1.44999e-05
47,-12.75851063,0.1012,0.0036993,9.0391e-05,0.06717,0.0023509,4.8152e-05,0.1603,0.0017992,9.080199999999999e-05,0.1555,0.0008307,1.69026e-05
48,-12.72651063,0.07761,0.0029143,6.3662e-05,0.0581,0.0023296999999999997,5.7671e-05,0.204,0.0019458,0.000107913,0.1238,0.0008791000000000001,2.68826e-05
49,-12.69451063,0.05704,0.0020231,3.9894e-05,0.03671,0.001964,5.0394799999999994e-05,0.2598,0.0021857,0.000128084,0.1324,0.0008114999999999999,3.83145e-05
50,-12.663510630000001,0.04545,0.0017063999999999998,4.0743e-05,0.02499,0.0014608,3.60214e-05,0.28,0.0025044,0.00013756999999999997,0.1932,0.0008135,4.42096e-05
51,-12.631510630000001,0.04697,0.002212,6.8274e-05,0.03332,0.0012185,2.98439e-05,0.254,0.0026821,0.00013076,0.2822,0.001006,5.4119e-05
52,-12.60051063,0.05591,0.0029942,9.2388e-05,0.04164,0.0011919,3.1294e-05,0.1968,0.0023458,0.00010203,0.3689,0.0013819000000000001,7.8692e-05
53,-12.56851063,0.05615,0.0038593,9.4052e-05,0.03449,0.0013580999999999999,3.51426e-05,0.1572,0.0018914,7.266099999999999e-05,0.4695,0.0018505000000000001,0.000114249
54,-12.53651063,0.05342,0.0046938,9.9121e-05,0.02213,0.0016767,3.77578e-05,0.1607,0.0015758,6.1476e-05,0.4818,0.0020367,0.000127705
55,-12.50551063,0.05918,0.0045089,0.000128009,0.01332,0.0017659,3.8607e-05,0.1885,0.0013271000000000001,6.6932e-05,0.3331,0.0020033,0.000106258
56,-12.47351063,0.05564,0.0037565000000000003,0.000166281,0.008449,0.0016805,4.0838e-05,0.2189,0.0012685,7.676499999999999e-05,0.218,0.0020827,8.686e-05
57,-12.442510630000001,0.03728,0.0037343000000000003,0.00018751199999999998,0.007586,0.0016755000000000003,4.6345e-05,0.2615,0.0012387000000000001,7.6446e-05,0.2561,0.001979,8.752099999999999e-05
58,-12.410510630000001,0.02421,0.0043828,0.00020099499999999998,0.01205,0.0018581,6.0534e-05,0.3135,0.001192,6.861899999999999e-05,0.3592,0.0017532,0.000105248
59,-12.37951063,0.02395,0.0052450000000000005,0.000240908,0.02407,0.0021454,8.4325e-05,0.3203,0.0011601,6.0641000000000004e-05,0.4988,0.0018135999999999998,0.000139123
